Q_4983
"4 AM",240
"5 AM",300
"6 AM",360
"7 AM",420
"8 AM",480
"9 AM",540
"10 AM",600
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
